name,common_name,name_type,full_common_name
Apache,fentanyl,street_name,fentanyl
Birria,fentanyl,street_name,fentanyl
Blonde,fentanyl,street_name,fentanyl
Blue Diamond,fentanyl,street_name,fentanyl
Blue Dolphin,fentanyl,street_name,fentanyl
Blues,fentanyl,street_name,fentanyl
Butter,fentanyl,street_name,fentanyl
China Girl,fentanyl,street_name,fentanyl
China Town,fentanyl,street_name,fentanyl
China White,fentanyl,street_name,fentanyl
Chinese,fentanyl,street_name,fentanyl
Chinese Buffet,fentanyl,street_name,fentanyl
Chinese Food Crazy,fentanyl,street_name,fentanyl
Crazy One,fentanyl,street_name,fentanyl
Dance Fever,fentanyl,street_name,fentanyl
Dragon,fentanyl,street_name,fentanyl
Dragon’s Breath,fentanyl,street_name,fentanyl
F,fentanyl,street_name,fentanyl
Food,fentanyl,street_name,fentanyl
Freddy,fentanyl,street_name,fentanyl
Fuf,fentanyl,street_name,fentanyl
Facebook,fentanyl,street_name,fentanyl
Fent,fentanyl,street_name,fentanyl
Fenty,fentanyl,street_name,fentanyl
Fire,fentanyl,street_name,fentanyl
Friend,fentanyl,street_name,fentanyl
Girl,fentanyl,street_name,fentanyl
Goodfella,fentanyl,street_name,fentanyl
Great Bear,fentanyl,street_name,fentanyl
Gray Stuff,fentanyl,street_name,fentanyl
He-Man,fentanyl,street_name,fentanyl
Heineken,fentanyl,street_name,fentanyl
Huerfanito,fentanyl,street_name,fentanyl
Humid,fentanyl,street_name,fentanyl
Jackpot,fentanyl,street_name,fentanyl
King Ivory,fentanyl,street_name,fentanyl
Lollipop,fentanyl,street_name,fentanyl
Murder 8,fentanyl,street_name,fentanyl
Nal,fentanyl,street_name,fentanyl
Nil,fentanyl,street_name,fentanyl
Nyl,fentanyl,street_name,fentanyl
Opes,fentanyl,street_name,fentanyl
Pharmacy,fentanyl,street_name,fentanyl
Poison,fentanyl,street_name,fentanyl
Shoes,fentanyl,street_name,fentanyl
Snowflake,fentanyl,street_name,fentanyl
Tango and Cash,fentanyl,street_name,fentanyl
TNT,fentanyl,street_name,fentanyl
Toe Tag Dope,fentanyl,street_name,fentanyl
White Girl,fentanyl,street_name,fentanyl
White Ladies,fentanyl,street_name,fentanyl
Herion,heroin,street_name,heroin
Abajo,heroin,street_name,heroin
A-Bomb,heroin,street_name,heroin
Achivia,heroin,street_name,heroin
Adormidera,heroin,street_name,heroin
Amarilla,heroin,street_name,heroin
Anestesia de Caballo,heroin,street_name,heroin
Antifreeze,heroin,street_name,heroin
Apodo,heroin,street_name,heroin
Arpon,heroin,street_name,heroin
Aunt Hazel,heroin,street_name,heroin
Avocado,heroin,street_name,heroin
Azucar,heroin,street_name,heroin
Bad Seed,heroin,street_name,heroin
Baja Corte,heroin,street_name,heroin
Ballot,heroin,street_name,heroin
Basketball,heroin,street_name,heroin
Basura,heroin,street_name,heroin
Beast,heroin,street_name,heroin
Beyonce,heroin,street_name,heroin
Big Bag,heroin,street_name,heroin
Big H,heroin,street_name,heroin
Big Harry,heroin,street_name,heroin
Bird,heroin,street_name,heroin
Birdie Powder,heroin,street_name,heroin
Birria,heroin,street_name,heroin
Birria Blanca,heroin,street_name,heroin
Black,heroin,street_name,heroin
Black Bitch,heroin,street_name,heroin
Black Goat,heroin,street_name,heroin
Black Olives,heroin,street_name,heroin
Black Paint,heroin,street_name,heroin
Black Pearl,heroin,street_name,heroin
Black Sheep,heroin,street_name,heroin
Black Shirt,heroin,street_name,heroin
Black Tar,heroin,street_name,heroin
Blanco,heroin,street_name,heroin
Blue,heroin,street_name,heroin
Blow Dope,heroin,street_name,heroin
Blue Hero,heroin,street_name,heroin
Bombita,heroin,street_name,heroin
Bombs Away,heroin,street_name,heroin
Bonita,heroin,street_name,heroin
Boy,heroin,street_name,heroin
Bozo,heroin,street_name,heroin
Brea Negra,heroin,street_name,heroin
Brick Gum,heroin,street_name,heroin
Brown,heroin,street_name,heroin
Brown Crystal,heroin,street_name,heroin
Brown Rhine,heroin,street_name,heroin
Brown Sugar,heroin,street_name,heroin
Bubble Gum,heroin,street_name,heroin
Burrito,heroin,street_name,heroin
Butter,heroin,street_name,heroin
Caballo,heroin,street_name,heroin
Caballo Negro,heroin,street_name,heroin
Caca,heroin,street_name,heroin
Café,heroin,street_name,heroin
Cajeta,heroin,street_name,heroin
Capital H,heroin,street_name,heroin
Cardio,heroin,street_name,heroin
Carga,heroin,street_name,heroin
Caro,heroin,street_name,heroin
Cement,heroin,street_name,heroin
Certificada,heroin,street_name,heroin
Chapopote,heroin,street_name,heroin
Charlie,heroin,street_name,heroin
